TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,12204,Mohamed,Abukar,Mohamed Abukar,SF,30.5,35.0,11.78,,3.37,15
,12205,Mario,Boggan,Mario Boggan,PF,24.0,26.5,12.18,,3.45,12
,12206,Craig,Bradshaw,Craig Bradshaw,PF,26.0,28.0,11.88,,3.54,12
,201147,Corey,Brewer,Corey Brewer,SF-SG,30.5,36.5,11.69,,3.22,11
,201166,Aaron,Brooks,Aaron Brooks,PG,32.5,39.5,10.57,,3.2,6
,201628,Bobby,Brown,Bobby Brown,PG,32.5,41.0,11.27,,3.25,3
,201469,Russell,Carter,Russell Carter,SG,33.0,38.5,11.61,,3.29,25
,12207,Coleman,Collins,Coleman Collins,PF,30.0,35.0,11.47,,,21
,201144,Mike,Conley,Mike Conley,PG,35.5,40.5,11.63,,3.09,13
,201161,Daequan,Cook,Daequan Cook,SG,30.0,34.5,11.12,,3.22,4
,12208,Ryvon,Covile,Ryvon Covile,C-PF,25.0,30.5,12.52,,3.37,19
,201159,Javaris,Crittenton,Javaris Crittenton,PG,32.5,38.0,11.6,,3.32,11
,201176,Jermareo,Davidson,Jermareo Davidson,PF,27.0,30.0,12.63,,3.53,7
,12209,Justin,Doellman,Justin Doellman,PF,,,,,,19
,12210,Zabian,Dowdell,Zabian Dowdell,PG,30.0,33.5,11.13,,3.29,3
,201162,Jared,Dudley,Jared Dudley,SF,28.0,32.0,11.32,,3.45,14
,201142,Kevin,Durant,Kevin Durant,SF-PF,26.0,33.5,12.33,,3.45,0
,12211,Rashaun,Freeman,Rashaun Freeman,PF,28.0,32.0,11.43,,3.41,20
,201189,Aaron,Gray,Aaron Gray,C,27.0,32.5,12.07,,3.7,17
,12212,Caleb,Green,Caleb Green,PF,28.5,36.0,11.72,,3.46,9
,201145,Jeff,Green,Jeff Green,SF,33.5,38.0,12.0,,3.34,17
,201192,Taurean,Green,Taurean Green,PG,29.0,32.5,11.3,,3.26,8
,201150,Spencer,Hawes,Spencer Hawes,PF,26.0,29.0,11.88,,3.51,9
