TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,101165,Alex,Acker,Alex Acker,SG,28.0,32.0,11.67,,3.35,11
,101224,Deji,Akindele,Deji Akindele,C-PF,30.5,32.5,12.58,,3.35,13
,200969,Mustafa,Al-Sayyad,Mustafa Al-Sayyad,PF-C,26.5,30.5,11.56,,3.42,
,12104,Nemanja,Aleksandrov,Nemanja Aleksandrov,PF-SF,,,,,,5
,101187,Alan,Anderson,Alan Anderson,SG-SF,26.5,30.5,10.32,,3.27,10
,101149,Martynas,Andriuskevicius,Martynas Andriuskevicius,C-PF,24.0,27.5,11.94,,3.42,0
,101252,Sean,Banks,Sean Banks,SF,25.0,31.5,11.74,,3.35,7
,101188,Eddie,Basden,Eddie Basden,SG-SF,33.0,36.5,10.52,,3.21,14
,12105,Mike,Bell,Mike Bell,SF-PF,33.5,39.5,11.73,,3.29,13
,101106,Andrew,Bogut,Andrew Bogut,C-PF,27.5,33.5,12.06,,3.51,13
,200793,Dee,Brown,Dee Brown,PG-SG,,,,,,
,101198,Will,Bynum,Will Bynum,PG-SG,33.0,40.5,11.12,,3.0,15
,12106,Marcus,Campbell,Marcus Campbell,C,,,,,,9
,101215,Will,Conroy,Will Conroy,PG,30.5,36.5,10.51,,3.28,14
,12107,Taylor,Coppenrath,Taylor Coppenrath,PF-SF,24.5,27.0,11.51,,3.44,5
,101143,Travis,Diener,Travis Diener,PG-SG,24.5,31.0,10.85,,3.26,1
,101113,Ike,Diogu,Ike Diogu,PF,28.0,31.0,11.94,,3.45,21
,12108,Daryl,Dorsey,Daryl Dorsey,PG,25.0,30.5,11.41,,3.24,0
,101145,Monta,Ellis,Monta Ellis,SG-PG,26.5,31.5,12.13,,3.31,0
,101109,Raymond,Felton,Raymond Felton,PG,29.0,33.5,10.5,,3.06,6
,201164,Rudy,Fernandez,Rudy Fernandez,SG,26.5,35.5,10.48,,3.33,0
,12109,D'Or,Fischer,D'Or Fischer,C-PF,28.0,30.5,12.53,,3.5,2
,12110,Eddy,Fobbs,Eddy Fobbs,C-PF,29.5,34.0,11.53,,3.28,12
,101213,Sharrod,Ford,Sharrod Ford,PF,28.5,37.0,11.92,,3.2,9
,101112,Channing,Frye,Channing Frye,PF-C,27.5,31.0,11.6,,3.38,19
,101184,Deng,Gai,Deng Gai,PF-C,31.5,35.5,12.51,,3.27,11
,101128,Francisco,Garcia,Francisco Garcia,SF-SG,27.5,31.5,10.63,,3.33,5
,12111,John,Gilchrist,John Gilchrist,PG,30.5,36.5,11.48,,3.15,12
,101162,Marcin,Gortat,Marcin Gortat,PF-C,29.5,36.0,11.48,,3.33,18
,101121,Joey,Graham,Joey Graham,SF,30.0,36.0,10.62,,3.05,26
,101122,Danny,Granger,Danny Granger,,31.0,34.0,10.84,,3.34,10
,101123,Gerald,Green,Gerald Green,SF,31.5,39.0,11.2,,3.21,7
,101236,Charles,Hayes,Charles Hayes,SF-PF,30.0,33.0,10.7,,3.34,20
,101129,Luther,Head,Luther Head,PG-SG,31.5,38.5,11.12,,3.21,14
,101125,Julius,Hodge,Julius Hodge,SG-SF,24.5,29.0,10.89,,3.18,14
,12112,Jared,Homan,Jared Homan,C-PF,,,,,,16
,101141,Ersan,Ilyasova,Ersan Ilyasova,SF,22.0,30.0,11.59,,3.56,2
,101127,Jarrett,Jack,Jarrett Jack,PG,26.0,28.5,10.87,,3.24,5
,101204,Dwayne,Jones,Dwayne Jones,C-PF,28.0,31.5,11.87,,3.25,15
,12113,Mindaugas,Katelynas,Mindaugas Katelynas,SF-PF,31.5,35.0,11.6,,3.38,7
,201318,Jason,Klotz,Jason Klotz,C-PF,21.5,27.0,13.13,,3.68,12
,-1,Carl,Krauser,Carl Krauser,PG-SG,26.0,31.0,11.62,,3.38,8
,101247,Keith,Langford,Keith Langford,SG-SF,32.0,29.5,11.38,,3.23,8
,101135,David,Lee,David Lee,PF,30.5,32.5,10.8,,3.19,14
,12114,David,Lucas,David Lucas,PF,,,,,,17
,101249,John,Lucas III,John Lucas III,PG,29.0,34.0,10.44,,3.14,4
,101185,Rawle,Marshall,Rawle Marshall,SG-SF,30.5,37.0,11.64,,3.21,7
,101131,Jason,Maxiell,Jason Maxiell,PF,,,,,,
,101118,Sean,May,Sean May,PF,30.0,33.0,11.04,,3.29,12
,101119,Rashad,McCants,Rashad McCants,SG,32.5,34.5,10.39,,3.11,15
,200829,Ivan,McFarlin,Ivan McFarlin,PF,26.5,32.0,10.64,,3.27,10
,12115,Juan,Mendez,Juan Mendez,PF-SF,29.0,33.0,11.7,,3.24,14
,101223,Aaron,Miles,Aaron Miles,PG,32.0,37.5,10.69,,3.22,7
,12116,Ellis,Myles,Ellis Myles,PF,26.0,28.5,12.8,,3.42,15
,12117,Larry,O'Bannon,Larry O'Bannon,SG,31.5,36.5,11.44,,3.18,17
,12118,Drago,Pasalic,Drago Pasalic,SF-PF,25.0,30.5,12.12,,3.48,11
,101108,Chris,Paul,Chris Paul,PG,32.0,38.0,11.09,,3.22,10
,200819,Kevin,Pittsnogle,Kevin Pittsnogle,PF,,,,,,
,201225,Carlos,Powell,Carlos Powell,SF-PF,27.5,34.5,11.54,,3.21,12
,101232,Roger,Powell,Roger Powell,SF,,,,,,
,101179,Ronnie,Price,Ronnie Price,PG,31.5,39.0,10.49,,3.29,11
,101194,Anthony,Roberson,Anthony Roberson,PG,31.5,37.0,11.17,,3.19,14
,201575,Brandon,Rush,Brandon Rush,SG-SF,32.5,35.0,11.33,,3.31,0
,101195,Luke,Schenscher,Luke Schenscher,C,23.5,26.5,12.4,,3.47,1
,101134,Wayne,Simien,Wayne Simien,PF,27.0,27.5,11.05,,3.35,11
,12120,Tre,Simmons,Tre Simmons,SG-SF,27.0,31.5,10.8,,3.18,3
,12121,David,Simon,David Simon,C-PF,28.0,33.0,11.98,,3.44,18
,101147,Chris,Taft,Chris Taft,PF,28.5,33.0,11.26,,3.27,14
,12119,Omar,Thomas,Omar Thomas,SF-SG,25.0,29.5,11.11,,3.27,6
,12122,Chris,Thomas,Chris Thomas,PG,28.5,34.0,10.84,,3.33,14
