TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,202374,Solomon,Alabi,Solomon Alabi,C,22.5,26.0,13.2,,3.68,10
,202332,Cole,Aldrich,Cole Aldrich,C,23.0,28.0,11.48,,3.35,10
,202329,Al-Farouq,Aminu,Al-Farouq Aminu,SF,27.0,33.5,11.29,,3.3,13
,202341,James,Anderson,James Anderson,SF,30.0,35.5,11.86,,3.19,14
,202337,Luke,Babbitt,Luke Babbitt,SF-PF,29.5,37.5,10.98,,3.4,15
,202339,Eric,Bledsoe,Eric Bledsoe,PG,,,,,,9
,202344,Trevor,Booker,Trevor Booker,PF,31.0,36.0,11.15,,3.1,22
,202342,Craig,Brackins,Craig Brackins,PF-SF,26.0,35.0,11.65,,3.39,6
,202340,Avery,Bradley,Avery Bradley,SG-PG,31.5,37.5,11.47,,3.14,2
,202382,Derrick,Caracter,Derrick Caracter,PF,25.0,30.5,12.78,,3.61,22
,202395,Sherron,Collins,Sherron Collins,PG,27.5,33.0,12.31,,3.24,
,202326,DeMarcus,Cousins,DeMarcus Cousins,C,23.5,27.5,11.4,,3.55,
,202348,Jordan,Crawford,Jordan Crawford,SG,31.5,34.5,11.03,,3.37,7
,202334,Ed,Davis,Ed Davis,PF,31.0,36.0,11.7,,3.21,
,202365,Devin,Ebanks,Devin Ebanks,SF,23.5,32.0,11.69,,3.44,6
,202324,Derrick,Favors,Derrick Favors,PF,31.5,35.5,11.74,,3.25,14
,12316,Keith,Gallon,Keith Gallon,PF-C,23.5,28.5,13.44,,3.7,14
,12317,Charles,Garcia,Charles Garcia,SF,24.5,30.5,11.65,,3.23,2
,202331,Paul,George,Paul George,SF,,,,,,4
,202376,Luke,Harangody,Luke Harangody,PF,24.0,28.5,11.83,,3.41,23
,202412,Manny,Harris,Manny Harris,SG,,,,,,11
,202351,Lazar,Hayward,Lazar Hayward,SG-SF,31.0,36.0,10.87,,3.31,15
,202330,Gordon,Hayward,Gordon Hayward,SF,30.5,34.5,11.73,,3.22,10
,202333,Xavier,Henry,Xavier Henry,SG,28.5,36.5,11.1,,3.18,8
,202359,Darington,Hobson,Darington Hobson,SG-SF,29.0,34.0,11.68,,3.25,
,202345,Damion,James,Damion James,SF,29.0,33.0,10.89,,3.2,13
,202356,Armon,Johnson,Armon Johnson,PG-SG,31.5,38.5,11.25,,3.19,18
,202325,Wesley,Johnson,Wesley Johnson,SF,32.0,37.0,11.43,,3.14,16
,202346,Dominique,Jones,Dominique Jones,SG,26.0,32.5,10.88,,3.31,19
,12329,Jerome,Jordan,Jerome Jordan,C,,,,,,
,12330,Sylven,Landesberg,Sylven Landesberg,SG,28.0,32.0,11.59,,3.36,8
,202371,Gani,Lawal,Gani Lawal,PF,27.0,31.5,11.61,,3.24,20
,202328,Greg,Monroe,Greg Monroe,PF-C,25.0,29.0,12.1,,3.35,15
,202350,Daniel,Orton,Daniel Orton,C,24.0,30.5,12.32,,3.39,13
,12334,Artsiom,Parakhouski,Artsiom Parakhouski,C,25.5,26.5,12.07,,3.33,16
,202335,Patrick,Patterson,Patrick Patterson,PF,28.5,33.5,11.14,,3.25,17
,202354,Dexter,Pittman,Dexter Pittman,PF-C,,,,,,
,202360,Andy,Rautins,Andy Rautins,SG,23.5,30.5,11.27,,3.49,8
,12338,Ryan,Richards,Ryan Richards,PF,25.0,28.5,11.33,,3.37,4
,202383,Stanley,Robinson,Stanley Robinson,SF,,37.5,11.65,,3.23,6
,202336,Larry,Sanders,Larry Sanders,PF-C,25.5,28.0,12.49,,3.27,7
,12341,Jon,Scheyer,Jon Scheyer,PG-SG,,,,,,
,202362,Lance,Stephenson,Lance Stephenson,SG,27.0,33.0,11.39,,3.38,10
,12343,Mikhail,Torrance,Mikhail Torrance,PG,23.0,32.0,11.43,,3.17,8
,202323,Evan,Turner,Evan Turner,SG,27.5,34.5,11.06,,3.27,9
,202327,Ekpe,Udoh,Ekpe Udoh,PF,31.0,33.5,11.15,,3.29,10
,12346,Jarvis,Varnado,Jarvis Varnado,PF-C,29.5,32.5,11.61,,3.37,3
,202349,Greivis,Vasquez,Greivis Vasquez,PG-SG,,,,,,
,202322,John,Wall,John Wall,PG,30.0,39.0,10.84,,3.14,
,202378,Willie,Warren,Willie Warren,SG-PG,23.0,31.5,11.21,,3.5,10
,202358,Terrico,White,Terrico White,SG-PG,31.0,40.0,11.38,,3.15,10
,202355,Hassan,Whiteside,Hassan Whiteside,C-PF,27.0,31.5,11.83,,3.54,12
