TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,201570,Joe,Alexander,Joe Alexander,SF-PF,32.5,38.5,11.33,,2.99,24
,201589,Darrell,Arthur,Darrell Arthur,PF,28.5,30.0,12.18,,3.14,12
,201571,D.J.,Augustin,D.J. Augustin,PG,28.5,35.0,11.27,,3.07,2
,201573,Jerryd,Bayless,Jerryd Bayless,PG-SG,31.0,38.0,11.26,,3.07,10
,201563,Michael,Beasley,Michael Beasley,PF-SF,30.0,35.0,11.06,,3.24,19
,12239,Ramel,Bradley,Ramel Bradley,PG-SG,24.5,29.5,10.68,,3.24,9
,12240,Tyrone,Brazelton,Tyrone Brazelton,PG,30.0,34.0,11.59,,3.25,8
,12241,Takais,Brown,Takais Brown,PF,29.0,31.0,12.47,,3.25,22
,201812,Keith,Brumbaugh,Keith Brumbaugh,SF-PF,26.0,27.0,11.65,,3.28,2
,201868,Stanley,Burrell,Stanley Burrell,PG,29.5,34.5,11.19,,3.19,21
,12242,Brian,Butch,Brian Butch,C-PF,24.0,26.5,11.87,,3.52,9
,12243,Jamar,Butler,Jamar Butler,PG,,,,,,15
,12244,Pat,Calathes,Pat Calathes,SF-PF,,,,,,7
,12245,Joe,Crawford,Joe Crawford,SG,31.0,36.0,11.67,,3.22,13
,12246,Chris,Daniels,Chris Daniels,C-PF,26.0,28.5,12.72,,3.56,11
,201595,Joey,Dorsey,Joey Dorsey,PF-C,27.5,33.0,11.84,,3.2,19
,12247,Marcus,Dove,Marcus Dove,SF-PF,27.5,33.5,11.59,,3.26,10
,12248,Josh,Duncan,Josh Duncan,PF,28.0,32.0,12.47,,3.26,26
,12249,Frank,Elegar,Frank Elegar,PF,33.5,37.5,11.86,,3.17,11
,201607,Patrick,Ewing Jr.,Patrick Ewing Jr.,SF-PF,35.0,42.0,11.77,,3.43,2
,201814,Gary,Forbes,Gary Forbes,SG,27.5,33.5,11.45,,3.25,13
,12250,Shan,Foster,Shan Foster,SG,30.0,33.0,12.3,,3.24,10
,201592,J.R.,Giddens,J.R. Giddens,SG,,,,,,10
,12251,James,Gist,James Gist,PF,30.5,35.0,11.37,,3.14,5
,12252,Vladimir,Golubovic,Vladimir Golubovic,C,21.5,27.0,12.4,,3.33,15
,201569,Eric,Gordon,Eric Gordon,SG,32.0,40.0,10.81,,3.01,15
,201863,Kentrell,Gransberry,Kentrell Gransberry,C,24.5,27.5,12.16,,3.32,18
,201590,Donte,Greene,Donte Greene,SF-PF,27.5,31.5,11.21,,3.2,2
,201612,Malik,Hairston,Malik Hairston,SG,30.5,38.0,11.33,,3.08,13
,201614,DeVon,Hardin,DeVon Hardin,C-PF,29.5,32.0,11.49,,3.33,20
,201613,Richard,Hendrix,Richard Hendrix,PF,26.5,28.0,10.62,,3.27,13
,201588,George,Hill,George Hill,PG,34.0,37.5,12.2,,3.07,9
,12254,Kyle,Hines,Kyle Hines,SF-PF,28.5,33.0,12.17,,3.4,16
,12255,Jiri,Hubalek,Jiri Hubalek,C-PF,20.5,26.0,12.26,,3.54,2
,201991,Lester,Hudson,Lester Hudson,PG,30.5,36.0,11.15,,3.16,12
,201629,Othello,Hunter,Othello Hunter,PF-SF,28.0,34.5,11.51,,3.18,7
,201616,Darnell,Jackson,Darnell Jackson,PF,27.0,31.0,11.75,,3.26,11
,12256,Shawn,James,Shawn James,PF,,,,,,6
,12257,Davon,Jefferson,Davon Jefferson,SF,27.0,32.0,12.02,,3.36,2
,12258,Joseph,Jones,Joseph Jones,PF,25.5,31.0,11.61,,3.33,16
,201599,DeAndre,Jordan,DeAndre Jordan,C,26.0,30.5,12.3,,3.27,8
,12253,Sasha,Kaun,Sasha Kaun,C-PF,29.0,32.0,12.06,,3.2,13
,12260,Marcelus,Kemp,Marcelus Kemp,SG,26.0,30.0,11.79,,3.39,9
,12261,Maarty,Leunen,Maarty Leunen,SF,29.5,34.5,11.57,,3.36,14
,201848,Longar,Longar,Longar Longar,C,,,,,,14
,201572,Brook,Lopez,Brook Lopez,C,27.5,30.5,12.77,,3.57,7
,201567,Kevin,Love,Kevin Love,PF,29.5,35.0,11.17,,3.22,18
,12262,Aleks,Maric,Aleks Maric,C,23.0,28.0,11.76,,3.35,15
,201564,O.J.,Mayo,O.J. Mayo,SG-PG,30.5,41.0,11.04,,3.14,7
,201651,James,Mays,James Mays,PF,29.5,35.0,11.23,,3.19,13
,201601,Luc,Mbah a Moute,Luc Mbah a Moute,SF,32.0,38.5,11.71,,3.17,11
,201580,JaVale,McGee,JaVale McGee,C-PF,27.0,32.5,12.75,,3.25,7
,12263,Drew,Neitzel,Drew Neitzel,PG,25.5,32.0,11.19,,3.2,10
,201634,DeMarcus,Nelson,DeMarcus Nelson,PG-SG,34.5,38.5,10.54,,3.13,19
,201624,David,Padgett,David Padgett,C-PF,24.0,28.0,12.45,,3.45,17
,12264,Jeremy,Pargo,Jeremy Pargo,PG,32.0,37.0,10.65,,3.07,7
,12265,Trent,Plaisted,Trent Plaisted,PF,30.5,35.5,11.32,,3.17,14
,12266,Quan,Prowell,Quan Prowell,SF-PF,32.0,36.0,11.79,,3.14,16
,12267,Shaun,Pruitt,Shaun Pruitt,C-PF,27.0,32.5,11.3,,3.4,10
,201576,Anthony,Randolph,Anthony Randolph,PF-SF,29.0,35.0,11.86,,3.26,7
,12268,Charles,Rhodes,Charles Rhodes,PF,26.5,33.5,11.51,,3.13,14
,12259,John,Riek,John Riek,C,,,,,,
,12269,Brian,Roberts,Brian Roberts,PG,31.5,36.5,10.65,,3.05,10
,201781,Russell,Robinson,Russell Robinson,PG,25.0,31.5,11.3,,3.15,8
,12270,Richard,Roby,Richard Roby,SG-SF,,,,,,
,201565,Derrick,Rose,Derrick Rose,PG,34.5,40.0,11.69,,3.05,10
,201606,Sean,Singletary,Sean Singletary,PG,26.0,,,,,18
,12271,Ronald,Steele,Ronald Steele,PG,25.0,29.5,11.08,,3.26,5
,12272,Bryce,Taylor,Bryce Taylor,SG,34.5,41.0,11.08,,3.19,16
,201446,Mike,Taylor,Mike Taylor,SG-PG,31.0,39.0,10.98,,3.08,2
,201872,Mark,Tyndale,Mark Tyndale,SG-SF,27.0,33.5,12.52,,3.14,5
,12273,Robert,Vaden,Robert Vaden,SG,26.0,29.5,11.97,,3.4,10
,201622,Deron,Washington,Deron Washington,SF,34.0,40.0,11.03,,3.09,7
,201603,Sonny,Weems,Sonny Weems,SG-SF,29.0,36.5,10.58,,2.96,12
,201566,Russell,Westbrook,Russell Westbrook,PG,30.0,36.5,10.98,,3.08,12
,199,Reggie,Williams,Reggie Williams,SG,31.5,36.5,11.32,,3.07,15
