TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,202728,Keith,Benson,Keith Benson,C-PF,31.5,36.0,11.88,,3.35,12
,202705,Marshon,Brooks,Marshon Brooks,SG,34.0,38.5,10.74,,3.09,5
,202692,Alec,Burks,Alec Burks,SG,29.0,36.0,10.96,,3.17,5
,202710,Jimmy,Butler,Jimmy Butler,SF,32.0,39.0,11.12,,3.15,14
,202708,Norris,Cole,Norris Cole,PG,29.5,38.5,10.07,,3.22,11
,202739,Jon,Diebler,Jon Diebler,SG,28.0,35.0,10.94,,3.37,2
,12406,Michael,Dunigan,Michael Dunigan,PF-C,29.5,34.5,11.85,,3.27,10
,12407,LaceDarius,Dunn,LaceDarius Dunn,SG,26.5,31.0,11.45,,3.27,3
,202702,Kenneth,Faried,Kenneth Faried,PF,30.5,35.0,11.35,,3.26,16
,12409,James,Fredette,James Fredette,PG,28.0,33.0,10.42,,3.21,14
,202726,Andrew,Goudelock,Andrew Goudelock,PG,32.5,37.0,10.33,,3.1,4
,202706,Jordan,Hamilton,Jordan Hamilton,SF,25.0,32.0,11.47,,3.3,7
,202712,Justin,Harper,Justin Harper,PF-SF,28.5,33.0,11.92,,3.3,19
,202699,Tobias,Harris,Tobias Harris,SF-PF,31.5,37.5,10.96,,3.17,12
,202715,Tyler,Honeycutt,Tyler Honeycutt,SF,30.0,37.0,11.68,,3.07,
,12415,Scotty,Hopson,Scotty Hopson,SG,32.5,36.0,10.47,,3.18,10
,202681,Kyrie,Irving,Kyrie Irving,PG,,,,,,
,12417,Rick,Jackson,Rick Jackson,PF,28.5,33.0,11.51,,3.26,9
,202724,Charles,Jenkins,Charles Jenkins,PG-SG,29.5,34.0,11.68,,3.18,16
,202707,JaJuan,Johnson,JaJuan Johnson,PF,33.5,38.0,11.21,,3.14,15
,202709,Cory,Joseph,Cory Joseph,PG,27.5,35.0,10.75,,3.27,5
,202683,Enes,Kanter,Enes Kanter,PF-C,26.0,32.5,11.3,,3.26,14
,202688,Brandon,Knight,Brandon Knight,PG,29.0,37.5,10.74,,3.07,10
,202723,Malcolm,Lee,Malcolm Lee,SG,30.0,35.5,11.2,,3.09,17
,202695,Kawhi,Leonard,Kawhi Leonard,SF,25.5,32.0,11.45,,3.15,3
,202727,Travis,Leslie,Travis Leslie,SG,33.0,40.5,11.0,,3.13,10
,202720,Jon,Leuer,Jon Leuer,PF,29.5,36.5,10.82,,3.36,14
,202732,DeAndre,Liggins,DeAndre Liggins,SF-SG,27.0,31.0,,,3.33,6
,12428,David,Lighty,David Lighty,SG,28.5,33.0,10.81,,3.25,15
,202714,Shelvin,Mack,Shelvin Mack,PG,32.0,39.0,11.23,,3.18,17
,12430,Demetri,McCamey,Demetri McCamey,PG,27.0,33.0,11.55,,3.19,
,202734,E'Twaun,Moore,E'Twaun Moore,SG,32.0,34.5,11.12,,3.31,
,202721,Darius,Morris,Darius Morris,PG-SG,24.5,32.0,11.0,,3.2,12
,202694,Marcus,Morris,Marcus Morris,PF-SF,29.0,33.0,,,3.15,11
,202693,Markieff,Morris,Markieff Morris,PF,27.0,31.5,,,3.4,11
,202718,Chandler,Parsons,Chandler Parsons,SF,25.5,31.5,11.05,,3.29,4
,12436,Jereme,Richmond,Jereme Richmond,SF,27.0,33.5,11.74,,3.02,0
,202729,Josh,Selby,Josh Selby,SG-PG,29.5,42.0,11.13,,3.2,5
,202697,Iman,Shumpert,Iman Shumpert,PG-SG,36.5,42.0,11.1,,3.18,18
,202713,Kyle,Singler,Kyle Singler,SF,23.0,30.0,11.22,,3.21,10
,202698,Chris,Singleton,Chris Singleton,SF,30.5,37.5,11.33,,3.09,15
,12441,Jamie,Skeen,Jamie Skeen,PF,26.0,30.5,12.43,,3.46,10
,12442,Gregory,Smith,Gregory Smith,PF-C,29.5,36.0,12.43,,3.36,17
,202701,Nolan,Smith,Nolan Smith,PG,28.5,34.0,11.05,,3.17,9
,202738,Isaiah,Thomas,Isaiah Thomas,PG,31.5,40.0,10.49,,3.14,13
,12445,Malcolm,Thomas,Malcolm Thomas,PF,32.0,36.5,11.31,,3.29,3
,202717,Trey,Thompkins,Trey Thompkins,PF,27.5,30.5,11.72,,3.41,15
,202691,Klay,Thompson,Klay Thompson,SG,26.5,31.5,10.99,,3.24,5
,202684,Tristan,Thompson,Tristan Thompson,PF,30.0,35.0,10.92,,3.26,9
,202719,Jeremy,Tyler,Jeremy Tyler,PF-C,28.0,33.5,11.26,,3.29,10
,202696,Nikola,Vucevic,Nikola Vucevic,PF-C,23.5,25.0,12.02,,3.27,8
,202689,Kemba,Walker,Kemba Walker,PG,32.0,39.5,10.87,,3.16,7
,202682,Derrick,Williams,Derrick Williams,PF-SF,29.0,34.5,11.03,,3.23,19
,202716,Jordan,Williams,Jordan Williams,PF,25.0,30.5,12.74,,3.45,10
