TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
,2403,Nene,,Nene ,PF,30.0,34.0,10.73,,3.19,16
,2425,Robert,Archibald,Robert Archibald,PF-C,24.0,27.5,11.34,,3.33,10
,2486,Maurice,Baker,Maurice Baker,PG,29.5,33.0,12.19,,3.29,2
,2440,Matt,Barnes,Matt Barnes,SF,35.5,40.5,10.68,,3.28,11
,12286,Lubos,Barton,Lubos Barton,SF-SG,25.5,31.5,11.2,,3.31,14
,2437,Lonny,Baxter,Lonny Baxter,PF-C,28.0,32.5,11.77,,3.21,14
,12287,Lee,Benson,Lee Benson,SF-PF,27.5,32.5,11.44,,3.29,14
,2430,Carlos,Boozer,Carlos Boozer,PF,26.5,28.5,10.77,,3.31,13
,2414,Curtis,Borchardt,Curtis Borchardt,C,24.0,27.0,12.56,,3.63,7
,2452,J.R.,Bremer,J.R. Bremer,SG-PG,30.0,35.5,10.93,,3.1,24
,12288,Brian,Brown,Brian Brown,PG-SG,26.0,33.0,11.43,,3.29,8
,12289,Sylvere,Bryan,Sylvere Bryan,PF,28.5,29.5,12.03,,3.2,13
,12290,Chris,Burgess,Chris Burgess,C,24.5,31.0,11.58,,3.37,24
,2406,Caron,Butler,Caron Butler,SF-SG,27.0,31.0,12.15,,3.33,2
,2446,Rasual,Butler,Rasual Butler,SF,31.5,37.5,11.54,,3.29,10
,12291,Mire,Chatman,Mire Chatman,PG-SG,29.0,33.0,11.12,,3.18,1
,12042,Chris,Christoffersen,Chris Christoffersen,C,28.0,31.0,12.55,,3.39,13
,12043,Lenny,Cooke,Lenny Cooke,SG-SF,,,,,,0
,12044,Craig,Dawson,Craig Dawson,SG-SF,26.0,30.0,12.06,,3.25,0
,2399,Mike,Dunleavy,Mike Dunleavy,SF,24.5,29.0,11.55,,3.3,11
,12045,Teddy,Dupay,Teddy Dupay,PG,28.0,33.0,10.53,,3.19,16
,2451,Corsley,Edwards,Corsley Edwards,PF,28.5,33.0,12.18,,3.31,12
,12046,Andy,Ellis,Andy Ellis,PF,32.0,35.5,11.69,,3.34,6
,2408,Melvin,Ely,Melvin Ely,PF,26.0,29.0,11.96,,3.35,7
,2501,Reggie,Evans,Reggie Evans,PF,26.0,29.5,12.73,,3.26,15
,12047,Peter,Fehse,Peter Fehse,PF-C,,,,,,
,2400,Drew,Gooden,Drew Gooden,PF,29.0,33.0,11.81,,3.19,13
,12066,David,Graves,David Graves,SG,26.0,29.5,11.2,,3.27,8
,2696,Lynn,Greer,Lynn Greer,PG,29.5,36.5,11.24,,3.16,12
,12067,Rod,Grizzard,Rod Grizzard,SF-SG,,,,,,6
,101219,Anthony,Grundy,Anthony Grundy,PG-SG,27.5,32.0,11.1,,3.39,0
,2409,Marcus,Haislip,Marcus Haislip,PF,33.5,36.5,11.35,,3.21,8
,12068,Damon,Hancock,Damon Hancock,SG-PG,32.0,35.0,11.62,,3.03,15
,12069,Greg,Harrington,Greg Harrington,PG,28.5,34.0,12.06,,3.32,15
,2617,Udonis,Haslem,Udonis Haslem,PF,28.5,33.5,11.8,,3.31,22
,12070,Cordell,Henry,Cordell Henry,PG,33.0,37.5,11.3,,3.04,1
,2450,Randy,Holcomb,Randy Holcomb,SF-PF,29.5,35.5,12.85,,3.22,15
,2415,Ryan,Humphrey,Ryan Humphrey,PF-SF,31.5,37.5,11.75,,3.2,13
,2407,Jared,Jeffries,Jared Jeffries,PF,26.0,30.0,11.73,,3.4,9
,12049,Jason,Jennings,Jason Jennings,C,29.0,32.0,11.92,,3.62,8
,2410,Fred,Jones,Fred Jones,SG,33.5,37.5,11.12,,3.13,
,2495,Lonnie,Jones,Lonnie Jones,C-PF,30.5,31.5,11.8,,3.33,15
,2435,Mario,Kasun,Mario Kasun,C,,,,,,12
,12050,Sean,Kennedy,Sean Kennedy,PG,22.5,26.5,11.64,,3.28,0
,12051,Kris,Lang,Kris Lang,C-PF,28.0,29.0,11.36,,3.24,19
,12052,Muhammed,Lasege,Muhammed Lasege,C-PF,27.5,30.0,12.96,,3.29,18
,12053,Steve,Logan,Steve Logan,PG,,,,,,11
,2677,Kevin,Lyde,Kevin Lyde,C-PF,27.5,30.5,12.97,,3.36,13
,2432,Tito,Maddox,Tito Maddox,PG,27.0,32.5,12.2,,3.24,0
,12054,Kei,Madison,Kei Madison,SF,27.5,34.5,11.74,,3.22,6
,-1,Chris,Massie,Chris Massie,PF,,,,,,
,12055,Immanuel,McElroy,Immanuel McElroy,SG,,,,,,9
,12056,Aaron,McGhee,Aaron McGhee,PF-SF,26.0,28.5,12.24,,,
,12057,Elvin,Mims,Elvin Mims,SF-SG,32.0,38.0,11.17,,3.22,7
,12058,Byron,Mouton,Byron Mouton,SG-SF,24.0,30.0,11.84,,3.1,7
,2436,Ronald,Murray,Ronald Murray,SG,31.0,36.5,11.13,,3.16,9
,12059,Uche,Okafor,Uche Okafor,PF-C,24.5,25.0,14.45,,3.34,10
,2442,Chris,Owens,Chris Owens,PF-SF,,,,,,10
,2457,Jannero,Pargo,Jannero Pargo,PG,25.5,29.5,11.11,,3.2,5
,2470,Smush,Parker,Smush Parker,PG-SG,21.0,28.5,12.3,,3.26,1
,2458,Luke,Recker,Luke Recker,SG-SF,25.5,31.0,10.78,,3.27,13
,12061,Rolan,Roberts,Rolan Roberts,PF,32.5,37.5,11.36,,3.33,16
,12062,Travis,Robinson,Travis Robinson,SF,26.0,33.0,11.96,,3.43,3
,2416,Kareem,Rush,Kareem Rush,SG-SF,26.0,30.0,11.86,,3.22,15
,12063,Brooks,Sales,Brooks Sales,PF-C,26.0,29.5,11.05,,3.29,13
,2422,John,Salmons,John Salmons,SF-SG,30.5,34.5,11.35,,3.25,12
,2453,Predrag,Savovic,Predrag Savovic,SG,22.5,28.5,10.94,,3.38,13
,201324,Julian,Sensley,Julian Sensley,PF-SF,27.5,31.5,11.85,,3.32,8
,12064,Israel,Sheinfeld,Israel Sheinfeld,PF-C,,,,,,8
,12065,Preston,Shumpert,Preston Shumpert,SF,28.5,29.0,11.03,,3.24,9
,2447,Tamar,Slay,Tamar Slay,SF,32.5,38.0,10.94,,3.09,11
,2443,Darius,Songaila,Darius Songaila,PF,24.5,29.5,11.69,,3.52,8
,2405,Amar'e,Stoudemire,Amar'e Stoudemire,PF,32.0,35.5,11.19,,3.25,12
,2445,Marcus,Taylor,Marcus Taylor,PG,27.5,33.5,11.25,,3.31,4
,12297,Jobey,Thomas,Jobey Thomas,SG,26.0,32.0,11.46,,3.3,13
,2402,Dajuan,Wagner,Dajuan Wagner,PG-SG,28.0,35.0,12.03,,3.22,16
,2404,Chris,Wilcox,Chris Wilcox,PF-C,31.0,34.5,11.43,,3.16,20
,2421,Frank,Williams,Frank Williams,PG,26.0,31.0,11.73,,3.29,
,2465,George,Williams,George Williams,PF-SF,33.5,39.0,11.21,,3.24,11
,2398,Jay,Williams,Jay Williams,PG,28.5,36.0,10.34,,3.09,10
,2417,Qyntel,Woods,Qyntel Woods,SF-SG,33.5,34.5,11.94,,3.23,2
,2428,Vincent,Yarbrough,Vincent Yarbrough,SF,30.0,34.0,11.7,,3.32,10
