Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis,University of Kentucky,4,260,8823,5398,2518,433,.516,.281,.780,33.9,20.8,9.7,1.7,37.7,.205,4.2,13.8
2,2,CHA,Michael Kidd-Gilchrist,University of Kentucky,4,202,5319,1839,1240,255,.467,.240,.689,26.3,9.1,6.1,1.3,9.6,.087,-1.4,0.8
3,3,WAS,Bradley Beal,University of Florida,4,247,8090,3949,913,736,.426,.397,.781,32.8,16.0,3.7,3.0,13.4,.080,-0.4,3.3
4,4,CLE,Dion Waiters,Syracuse University,4,289,8188,3709,738,709,.411,.334,.707,28.3,12.8,2.6,2.5,5.8,.034,-2.7,-1.5
5,5,SAC,Thomas Robinson,University of Kansas,4,265,3643,1287,1284,159,.459,.000,.511,13.7,4.9,4.8,0.6,3.7,.049,-3.4,-1.3
6,6,POR,Damian Lillard,Weber State University,4,321,11705,6856,1225,2007,.426,.370,.870,36.5,21.4,3.8,6.3,35.2,.144,2.9,14.4
7,7,GSW,Harrison Barnes,University of North Carolina,4,307,8622,3087,1422,447,.446,.376,.739,28.1,10.1,4.6,1.5,17.7,.098,-0.7,2.8
8,8,TOR,Terrence Ross,University of Washington,4,309,7237,2873,807,274,.419,.377,.795,23.4,9.3,2.6,0.9,11.1,.074,-1.0,1.8
9,9,DET,Andre Drummond,University of Connecticut,4,304,9029,4015,3830,187,.553,.250,.380,29.7,13.2,12.6,0.6,29.4,.156,0.6,6.0
10,10,NOH,Austin Rivers,Duke University,4,273,5784,2030,520,541,.408,.329,.637,21.2,7.4,1.9,2.0,2.9,.024,-3.6,-2.4
11,11,POR,Meyers Leonard,University of Illinois at Urbana-Champaign,4,225,3741,1313,930,175,.489,.385,.814,16.6,5.8,4.1,0.8,8.0,.103,-1.7,0.3
12,12,HOU,Jeremy Lamb,University of Connecticut,4,214,3545,1611,566,241,.432,.336,.805,16.6,7.5,2.6,1.1,7.8,.106,-1.3,0.6
13,13,PHO,Kendall Marshall,University of North Carolina,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-5.6,-2.8
14,14,MIL,John Henson,University of North Carolina,4,257,4870,2026,1327,257,.537,.000,.549,18.9,7.9,5.2,1.0,11.1,.109,0.6,3.2
