Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns,University of Kentucky,1,82,2626,1503,855,161,.543,.341,.811,32.0,18.3,10.4,2.0,8.3,.151,2.7,3.1
2,2,LAL,D'Angelo Russell,Ohio State University,1,80,2259,1054,274,266,.410,.351,.737,28.2,13.2,3.4,3.3,0.0,.001,-1.8,0.1
3,3,PHI,Jahlil Okafor,Duke University,1,53,1591,928,373,65,.508,.167,.686,30.0,17.5,7.0,1.2,1.2,.037,-4.1,-0.8
4,4,NYK,Kristaps Porzingis,,1,72,2047,1028,526,93,.421,.333,.838,28.4,14.3,7.3,1.3,4.3,.102,0.1,1.1
5,5,ORL,Mario Hezonja,,1,79,1413,478,176,109,.433,.349,.907,17.9,6.1,2.2,1.4,0.9,.029,-2.8,-0.3
6,6,SAC,Willie Cauley-Stein,University of Kentucky,1,66,1412,463,352,37,.563,.000,.648,21.4,7.0,5.3,0.6,3.8,.130,0.7,1.0
7,7,DEN,Emmanuel Mudiay,,1,68,2068,872,232,372,.364,.319,.670,30.4,12.8,3.4,5.5,-2.1,-.049,-4.3,-1.2
8,8,DET,Stanley Johnson,University of Arizona,1,73,1687,593,306,118,.375,.307,.784,23.1,8.1,4.2,1.6,0.6,.018,-2.6,-0.2
9,9,CHO,Frank Kaminsky,University of Wisconsin,1,81,1708,606,335,98,.410,.337,.730,21.1,7.5,4.1,1.2,3.3,.092,-1.2,0.3
10,10,MIA,Justise Winslow,Duke University,1,78,2232,502,403,117,.422,.276,.684,28.6,6.4,5.2,1.5,2.5,.054,-0.6,0.8
11,11,IND,Myles Turner,University of Texas at Austin,1,60,1367,619,332,41,.498,.214,.727,22.8,10.3,5.5,0.7,3.1,.109,-2.3,-0.1
12,12,UTA,Trey Lyles,University of Kentucky,1,80,1382,488,299,59,.438,.383,.695,17.3,6.1,3.7,0.7,2.3,.079,-2.8,-0.3
13,13,PHO,Devin Booker,University of Kentucky,1,76,2108,1048,187,200,.423,.343,.840,27.7,13.8,2.5,2.6,1.9,.043,-3.1,-0.6
14,14,OKC,Cameron Payne,Murray State University,1,57,698,283,85,108,.410,.324,.792,12.2,5.0,1.5,1.9,1.4,.093,-1.3,0.1
15,15,ATL,Kelly Oubre,University of Kansas,1,63,671,236,133,13,.427,.316,.633,10.7,3.7,2.1,0.2,0.4,.031,-5.8,-0.7
16,16,BOS,Terry Rozier,University of Louisville,1,39,311,72,63,37,.274,.222,.800,8.0,1.8,1.6,0.9,-0.3,-.047,-6.6,-0.4
17,17,MIL,Rashad Vaughn,University of Nevada Las Vegas,1,70,1001,217,88,39,.305,.293,.800,14.3,3.1,1.3,0.6,-0.8,-.036,-6.1,-1.0
18,18,HOU,Sam Dekker,University of Wisconsin,1,3,6,0,1,0,,,,2.0,0.0,0.3,0.0,0.0,.116,0.5,0.0
19,19,WAS,Jerian Grant,University of Notre Dame,1,76,1265,426,143,177,.394,.220,.780,16.6,5.6,1.9,2.3,0.8,.030,-3.4,-0.5
20,20,TOR,Delon Wright,University of Utah,1,27,229,103,37,31,.450,.385,.743,8.5,3.8,1.4,1.1,0.6,.124,-0.7,0.1
21,21,DAL,Justin Anderson,University of Virginia,1,55,647,208,132,29,.406,.265,.800,11.8,3.8,2.4,0.5,1.1,.083,-1.2,0.1
22,22,CHI,Bobby Portis,University of Arkansas,1,62,1102,436,337,52,.427,.308,.727,17.8,7.0,5.4,0.8,1.5,.066,-3.3,-0.4
23,23,POR,Rondae Hollis-Jefferson,University of Arizona,1,29,615,167,154,43,.457,.286,.712,21.2,5.8,5.3,1.5,1.2,.094,1.2,0.5
