Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins,University of Kansas,2,163,5814,3062,667,334,.449,.304,.760,35.7,18.8,4.1,2.0,6.2,.051,-2.2,-0.3
2,2,MIL,Jabari Parker,Duke University,2,101,3146,1378,533,172,.492,.255,.752,31.1,13.6,5.3,1.7,4.9,.075,-2.1,-0.1
3,3,PHI,Joel Embiid,University of Kansas,,,,,,,,,,,,,,,,,
4,4,ORL,Aaron Gordon,University of Arizona,2,125,2660,962,676,161,.466,.289,.681,21.3,7.7,5.4,1.3,6.4,.116,0.4,1.6
5,5,UTA,Dante Exum,,1,82,1817,393,131,198,.349,.314,.625,22.2,4.8,1.6,2.4,-0.1,-.003,-3.8,-0.8
6,6,BOS,Marcus Smart,Oklahoma State University,2,128,3475,1081,477,393,.357,.296,.720,27.1,8.4,3.7,3.1,5.8,.080,0.9,2.6
7,7,LAL,Julius Randle,University of Kentucky,2,82,2300,921,829,144,.428,.278,.710,28.0,11.2,10.1,1.8,1.6,.033,-3.7,-1.0
8,8,SAC,Nik Stauskas,University of Michigan,2,146,2936,936,271,205,.378,.325,.802,20.1,6.4,1.9,1.4,1.0,.016,-3.7,-1.3
9,9,CHH,Noah Vonleh,Indiana University,2,103,1433,366,391,34,.415,.271,.727,13.9,3.6,3.8,0.3,1.6,.054,-4.3,-0.8
10,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,2,155,4634,1509,610,1001,.430,.306,.569,29.9,9.7,3.9,6.5,4.5,.047,-1.0,1.2
11,11,DEN,Doug McDermott,Creighton University,2,117,2182,873,238,65,.445,.410,.828,18.6,7.5,2.0,0.6,2.8,.061,-3.8,-1.0
12,12,ORL,Dario Saric,,,,,,,,,,,,,,,,,,
13,13,MIN,Zach LaVine,University of California Los Angeles,2,159,4196,1928,442,527,.439,.373,.816,26.4,12.1,2.8,3.3,1.9,.022,-2.8,-0.8
14,14,PHO,T.J. Warren,North Carolina State University,2,87,1684,760,232,69,.510,.363,.711,19.4,8.7,2.7,0.8,3.3,.095,-1.5,0.2
15,15,ATL,Adreian Payne,Michigan State University,2,84,1225,345,274,59,.393,.244,.653,14.6,4.1,3.3,0.7,-1.0,-.039,-6.0,-1.2
16,16,CHI,Jusuf Nurkic,,2,94,1650,689,557,90,.435,.000,.628,17.6,7.3,5.9,1.0,1.9,.057,-0.8,0.5
17,17,BOS,James Young,University of Kentucky,2,60,531,134,68,22,.341,.250,.515,8.9,2.2,1.1,0.4,0.4,.034,-4.1,-0.3
18,18,PHO,Tyler Ennis,Syracuse University,2,79,1065,327,110,168,.411,.305,.732,13.5,4.1,1.4,2.1,0.1,.003,-5.5,-0.9
19,19,CHI,Gary Harris,Michigan State University,2,131,3158,1120,284,176,.433,.315,.800,24.1,8.5,2.2,1.3,3.3,.050,-0.8,0.9
20,20,TOR,Bruno Caboclo,,2,14,66,13,4,1,.208,.300,,4.7,0.9,0.3,0.1,-0.4,-.280,-14.1,-0.2
21,21,OKC,Mitch McGary,University of Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-3.1,-0.2
22,22,MEM,Jordan Adams,University of California Los Angeles,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,-0.5,0.1
23,23,UTA,Rodney Hood,Duke University,2,129,3605,1582,384,296,.418,.360,.832,27.9,12.3,3.0,2.3,8.1,.108,0.2,2.0
24,24,CHH,Shabazz Napier,University of Connecticut,2,106,1612,464,168,227,.361,.347,.762,15.2,4.4,1.6,2.1,0.6,.016,-3.5,-0.6
25,25,HOU,Clint Capela,,2,89,1561,574,530,49,.575,.000,.359,17.5,6.4,6.0,0.6,4.5,.137,0.0,0.8
