Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall,University of Kentucky,6,422,15195,7614,1891,3779,.429,.319,.789,36.0,18.0,4.5,9.0,31.7,.100,2.2,16.0
2,2,PHI,Evan Turner,Ohio State University,6,469,13390,5033,2421,1763,.432,.305,.777,28.6,10.7,5.2,3.8,14.7,.053,-2.0,0.1
3,3,NJN,Derrick Favors,Georgia Institute of Technology,6,429,11162,5003,3130,454,.512,.063,.668,26.0,11.7,7.3,1.1,30.8,.133,0.9,8.1
4,4,MIN,Wesley Johnson,Syracuse University,6,429,10642,3518,1455,538,.408,.344,.747,24.8,8.2,3.4,1.3,8.2,.037,-1.2,2.2
5,5,SAC,DeMarcus Cousins,University of Kentucky,6,415,13105,8366,4473,1136,.460,.290,.728,31.6,20.2,10.8,2.7,29.3,.107,1.9,12.8
6,6,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,.429,.000,.720,16.9,4.0,3.2,0.7,5.7,.060,-1.1,1.0
7,7,DET,Greg Monroe,Georgetown University,6,457,14132,6621,4175,1029,.508,.000,.701,30.9,14.5,9.1,2.3,39.7,.135,2.0,14.3
8,8,LAC,Al-Farouq Aminu,Wake Forest University,6,459,10747,3234,2497,540,.432,.322,.729,23.4,7.0,5.4,1.2,15.5,.069,-0.2,4.8
9,9,UTA,Gordon Hayward,Butler University,6,443,13648,6476,1755,1510,.438,.360,.815,30.8,14.6,4.0,3.4,32.6,.115,1.6,12.4
10,10,IND,Paul George,California State University Fresno,6,373,12003,6315,2324,1168,.425,.364,.838,32.2,16.9,6.2,3.1,37.4,.150,4.0,18.1
11,11,NOH,Cole Aldrich,University of Kansas,6,256,2809,933,958,155,.532,,.755,11.0,3.6,3.7,0.6,8.3,.141,1.3,2.3
12,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,.406,.325,.635,15.7,5.7,1.9,0.6,0.8,.013,-5.1,-2.3
13,13,TOR,Ed Davis,University of North Carolina,6,435,9247,3078,2819,372,.564,.000,.564,21.3,7.1,6.5,0.9,28.8,.150,1.4,7.9
14,14,HOU,Patrick Patterson,University of Kentucky,6,412,9835,3301,1940,502,.467,.367,.749,23.9,8.0,4.7,1.2,21.7,.106,0.7,6.7
15,15,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,.480,.000,.550,19.8,6.5,5.8,0.7,10.3,.107,0.6,3.1
16,16,MIN,Luke Babbitt,University of Nevada Reno,6,263,3552,1235,609,157,.407,.403,.744,13.5,4.7,2.3,0.6,4.5,.060,-2.9,-0.8
17,17,CHI,Kevin Seraphin,,6,374,5871,2284,1320,223,.483,.000,.720,15.7,6.1,3.5,0.6,5.0,.041,-4.0,-2.9
18,18,OKC,Eric Bledsoe,University of Kentucky,6,352,9133,4090,1263,1506,.447,.333,.781,25.9,11.6,3.6,4.3,17.9,.094,1.6,8.3
19,19,BOS,Avery Bradley,University of Texas at Austin,6,358,9784,4114,930,581,.438,.360,.781,27.3,11.5,2.6,1.6,11.3,.056,-1.6,1.1
20,20,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,.411,.321,.755,17.5,5.8,2.3,1.2,3.3,.037,-2.8,-0.9
21,21,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,.265,.214,.500,7.1,1.8,1.1,0.5,-0.2,-.089,-9.1,-0.2
22,22,POR,Elliot Williams,University of Memphis,4,109,1470,537,161,94,.421,.310,.669,13.5,4.9,1.5,0.9,0.7,.024,-5.3,-1.2
23,23,MIN,Trevor Booker,Clemson University,6,393,7960,2542,2043,346,.515,.311,.617,20.3,6.5,5.2,0.9,20.1,.121,0.3,4.7
24,24,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,.415,.000,.667,16.0,3.8,3.4,0.7,0.0,-.001,-4.3,-0.4
25,25,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,.366,.095,.729,9.3,3.1,1.4,1.8,0.3,.017,-3.6,-0.3
26,26,OKC,Quincy Pondexter,University of Washington,5,279,5042,1466,567,230,.424,.365,.732,18.1,5.3,2.0,0.8,9.1,.087,-1.0,1.2
27,27,NJN,Jordan Crawford,Xavier University,4,257,6348,3132,665,813,.405,.306,.828,24.7,12.2,2.6,3.2,5.2,.039,-2.2,-0.4
28,28,MEM,Greivis Vasquez,University of Maryland,6,398,9481,3584,1019,1930,.418,.349,.817,23.8,9.0,2.6,4.8,12.6,.064,-1.5,1.2
29,29,ORL,Daniel Orton,University of Kentucky,3,51,542,143,126,24,.485,.000,.597,10.6,2.8,2.5,0.5,1.0,.093,-1.7,0.0
30,30,WAS,Lazar Hayward,Marquette University,3,72,591,207,90,35,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,.020,-4.6,-0.4
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
31,31,NJN,Tibor Pleiss,,1,12,82,24,15,2,.440,.000,1.000,6.8,2.0,1.3,0.2,-0.1,-.041,-8.1,-0.1
32,32,MIA,Dexter Pittman,University of Texas at Austin,4,50,347,116,89,9,.450,,.545,6.9,2.3,1.8,0.2,0.5,.068,-6.0,-0.4
33,33,SAC,Hassan Whiteside,Marshall University,4,140,3378,1633,1386,36,.609,,.598,24.1,11.7,9.9,0.3,15.7,.223,1.1,2.6
34,34,POR,Armon Johnson,University of Nevada Reno,2,47,401,157,49,56,.458,.400,.679,8.5,3.3,1.0,1.2,-0.1,-.015,-6.2,-0.4
35,35,WAS,Nemanja Bjelica,,1,60,1075,308,210,83,.468,.384,.727,17.9,5.1,3.5,1.4,1.9,.087,0.3,0.6
