Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIL,Andrew Bogut,University of Utah,11,644,18929,6654,5761,1471,.535,.125,.558,29.4,10.3,8.9,2.3,49.2,.125,2.4,21.2
2,2,ATL,Marvin Williams,University of North Carolina,11,785,22596,8273,4086,1019,.446,.354,.802,28.8,10.5,5.2,1.3,48.9,.104,-0.5,8.6
3,3,UTA,Deron Williams,University of Illinois at Urbana-Champaign,11,781,27208,13103,2472,6459,.445,.357,.822,34.8,16.8,3.2,8.3,74.9,.132,1.5,23.9
4,4,NOH,Chris Paul,Wake Forest University,11,773,27725,14506,3380,7688,.473,.365,.864,35.9,18.8,4.4,9.9,144.1,.249,7.5,66.4
5,5,CHA,Raymond Felton,University of North Carolina,11,776,25385,9608,2459,4650,.412,.327,.789,32.7,12.4,3.2,6.0,35.3,.067,-0.4,10.0
6,6,POR,Martell Webster,,10,580,13914,5056,1811,588,.418,.382,.791,24.0,8.7,3.1,1.0,24.7,.085,-0.7,4.6
7,7,TOR,Charlie Villanueva,University of Connecticut,11,656,13578,6808,3019,549,.435,.341,.772,20.7,10.4,4.6,0.8,22.6,.080,-1.8,0.6
8,8,NYK,Channing Frye,University of Arizona,10,727,17338,6717,3525,761,.439,.386,.819,23.8,9.2,4.8,1.0,33.7,.093,0.0,8.6
9,9,GSW,Ike Diogu,Arizona State University,6,225,2795,1348,689,69,.509,.500,.786,12.4,6.0,3.1,0.3,6.5,.112,-4.8,-2.0
10,10,LAL,Andrew Bynum,,8,418,10690,4822,3221,490,.556,.111,.690,25.6,11.5,7.7,1.2,37.4,.168,1.3,9.0
11,11,ORL,Fran Vazquez,,,,,,,,,,,,,,,,,,
12,12,LAC,Yaroslav Korolev,,2,34,168,39,16,13,.283,.250,.625,4.9,1.1,0.5,0.4,-0.1,-.024,-6.4,-0.2
13,13,CHA,Sean May,University of North Carolina,4,119,1868,821,481,115,.458,.231,.746,15.7,6.9,4.0,1.0,2.6,.068,-2.4,-0.2
14,14,MIN,Rashad McCants,University of North Carolina,4,249,5037,2479,506,331,.431,.368,.741,20.2,10.0,2.0,1.3,3.6,.035,-2.5,-0.6
