Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,University of Oklahoma,6,410,14491,8801,3927,1654,.521,.271,.661,35.3,21.5,9.6,4.0,54.7,.181,4.1,22.2
2,2,MEM,Hasheem Thabeet,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-1.4,0.4
3,3,OKC,James Harden,Arizona State University,7,534,17741,11262,2434,2620,.443,.368,.855,33.2,21.1,4.6,4.9,76.3,.206,5.3,32.6
4,4,SAC,Tyreke Evans,University of Memphis,7,433,14445,7220,2117,2293,.446,.288,.757,33.4,16.7,4.9,5.3,23.1,.077,0.9,10.7
5,5,MIN,Ricky Rubio,,5,278,8748,2817,1193,2309,.368,.318,.815,31.5,10.1,4.3,8.3,17.1,.094,1.4,7.5
6,6,MIN,Jonny Flynn,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.9,-2.7
7,7,GSW,Stephen Curry,Davidson College,7,495,17259,11089,2149,3393,.477,.444,.902,34.9,22.4,4.3,6.9,71.6,.199,6.2,35.6
8,8,NYK,Jordan Hill,University of Arizona,7,402,7645,3220,2375,322,.497,.136,.698,19.0,8.0,5.9,0.8,16.4,.103,-1.9,0.2
9,9,TOR,DeMar DeRozan,University of Southern California,7,521,17655,9436,2038,1371,.442,.283,.825,33.9,18.1,3.9,2.6,35.4,.096,-1.2,3.6
10,10,MIL,Brandon Jennings,,7,460,14837,7151,1432,2712,.390,.350,.799,32.3,15.5,3.1,5.9,28.1,.091,0.9,10.9
11,11,NJN,Terrence Williams,University of Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-3.8,-1.4
12,12,CHA,Gerald Henderson,Duke University,7,463,12187,5325,1531,897,.442,.319,.791,26.3,11.5,3.3,1.9,16.2,.064,-2.1,-0.4
13,13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.5,-1.0
14,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-3.6,-1.5
15,15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.6,-0.6
16,16,CHI,James Johnson,Wake Forest University,7,398,7270,2594,1256,590,.476,.266,.688,18.3,6.5,3.2,1.5,11.9,.079,0.8,5.2
17,17,PHI,Jrue Holiday,University of California Los Angeles,7,437,14067,6162,1536,2659,.439,.368,.801,32.2,14.1,3.5,6.1,22.7,.078,0.8,10.0
18,18,MIN,Ty Lawson,University of North Carolina,7,482,14356,6296,1327,2982,.461,.366,.766,29.8,13.1,2.8,6.2,38.9,.130,0.9,10.6
19,19,ATL,Jeff Teague,Wake Forest University,7,518,13518,6291,1114,2671,.448,.355,.838,26.1,12.1,2.2,5.2,33.1,.118,-0.2,6.2
20,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-4.7,-2.7
21,21,NOH,Darren Collison,University of California Los Angeles,7,495,14572,6249,1323,2404,.468,.374,.851,29.4,12.6,2.7,4.9,31.6,.104,-0.1,6.9
22,22,POR,Victor Claver,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.3,-0.4
23,23,SAC,Omri Casspi,,7,463,10056,3930,1928,548,.442,.368,.677,21.7,8.5,4.2,1.2,15.6,.074,-1.4,1.6
24,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.6,-2.3
25,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,26,CHI,Taj Gibson,University of Southern California,7,507,12668,4641,3204,504,.491,.045,.692,25.0,9.2,6.3,1.0,33.6,.127,0.1,6.6
27,27,MEM,DeMarre Carroll,University of Missouri,7,342,7620,2698,1296,395,.453,.369,.721,22.3,7.9,3.8,1.2,18.2,.115,1.3,6.3
28,28,MIN,Wayne Ellington,University of North Carolina,7,453,8882,3221,959,490,.411,.376,.848,19.6,7.1,2.1,1.1,7.4,.040,-3.1,-2.5
29,29,LAL,Toney Douglas,Florida State University,7,370,7117,2892,814,833,.406,.360,.824,19.2,7.8,2.2,2.3,11.6,.078,-0.6,2.5
30,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.0,-0.5
31,31,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-1.4,0.4
