Rk,Season,Lg,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
32,1984-85,NBA,34,63,42,38,,36,44,52,46,22,48,22,31,62,,,59,,,24,31,,58,36,42,31,41,,41,40
33,1983-84,NBA,40,62,45,27,,28,43,38,49,37,29,26,30,54,,,50,,,47,42,,52,41,48,38,37,,45,35
34,1982-83,NBA,43,56,49,28,,23,38,45,37,30,14,20,25,58,,,51,,,44,48,,65,53,46,45,53,,30,42
35,1981-82,NBA,42,63,44,34,,15,28,46,39,45,46,35,17,57,,,55,,,33,52,,58,46,42,30,48,,25,43
36,1980-81,NBA,31,62,24,45,,28,15,37,21,39,40,44,36,54,,,60,,,50,34,,62,57,45,40,52,,28,39
37,1979-80,NBA,50,61,34,30,,37,,30,16,24,41,37,35,60,,,49,,,39,56,,59,55,38,47,41,,24,39
38,1978-79,NBA,46,29,37,31,,30,,47,30,38,47,38,43,47,,,38,,,31,52,,47,50,45,48,48,,26,54
39,1977-78,NBA,41,32,24,40,,43,,48,38,43,28,31,27,45,,,44,,,43,47,,55,49,58,31,52,,39,44
40,1976-77,NBA,31,44,22,44,,43,,50,44,46,49,36,30,53,,,30,,,40,40,,50,34,49,40,44,,35,48
41,1975-76,NBA,29,54,,24,,49,,,36,59,40,,46,40,,,38,,,38,43,,46,42,37,31,,,38,48
42,1974-75,NBA,31,60,,47,,40,,,40,48,41,,49,30,,,38,,,40,43,,34,32,38,44,,,23,60
43,1973-74,NBA,35,56,,54,,29,,,52,44,32,,42,47,,,59,,,49,36,,25,30,27,33,,,,47
44,1972-73,NBA,46,68,,51,,32,,,40,47,33,,21,60,,,60,,,57,26,,9,38,21,36,,,,52
45,1971-72,NBA,36,56,,57,,23,,,26,51,34,,22,69,,,63,,,48,47,,30,49,18,30,,,,38
46,1970-71,NBA,36,44,,51,,15,,,45,41,40,,22,48,,,66,,,52,38,,47,48,29,33,,,,42
47,1969-70,NBA,48,34,,39,,,,,31,30,27,,,46,,,56,,,60,36,,42,39,,36,,,,50
48,1968-69,NBA,48,48,,33,,,,,32,41,37,,,55,,,27,,,54,30,,55,16,,41,,,,57
49,1967-68,NBA,56,54,,29,,,,,40,43,15,,,52,,,,,,43,23,,62,,,39,,,,36
50,1966-67,NBA,39,60,,33,,,,,30,44,,,,36,,,,,,36,,,68,,,39,,,,20
